"model","comparison","pval","W","comparison_difference"
"rangebagging / vine","ulsif",0.00083017166675581,266,-0.124854191142055
"rangebagging / vine","rulsif",0.00070859499453388,263,-0.13233073905676
"rangebagging / vine","maxnet",0.00102187561396201,270,-0.154703043887451
"rangebagging / vine","biomod",0.00625117015767323,298,-0.124760672736144
"rangebagging / vine","BRT",0.0104231553102647,310,-0.121543999295503
"rangebagging / vine","cforest",0.214582987949443,404,-0.0704281084537485
"rangebagging / vine","cforest weighted",0.112362536516624,379,-0.0817274983632534
"rangebagging / vine","Ensemble",0.00682196018606406,300,-0.135770899824761
"rangebagging / vine","GAM",0.0041728509803178,289,-0.10993493739055
"rangebagging / vine","GLM",0.00166276835057178,266,-0.145356713289112
"rangebagging / vine","GLM unweighted",0.000851419692494562,257,-0.139883742215843
"rangebagging / vine","IWLR-GAM",0.00273490330350959,280,-0.12261369633986
"rangebagging / vine","IWLR-GLM",0.00159041646561644,269,-0.131002288327963
"rangebagging / vine","Lasso",0.012275557060279,314,-0.12830632230832
"rangebagging / vine","MARS unweighted",0.0294976893683817,337,-0.0931893711720821
"rangebagging / vine","MaxEnt",0.00286899886840993,281,-0.141669615932034
"rangebagging / vine","MaxEnt tuned2",0.00743836249866046,302,-0.129398063714226
"rangebagging / vine","MaxNet",0.000851419692494562,257,-0.140593417460489
"rangebagging / vine","RF",0.768904256452003,473,-0.021821939421561
"rangebagging / vine","RF down-sampled",0.00919923671343277,307,-0.127385310301053
"rangebagging / vine","Ridge regression",0.00572310075774016,296,-0.127049967689068
"rangebagging / vine","SVM",0.0866938082530118,370,-0.0699488572766374
"rangebagging / vine","SVM weighted",0.0477838480816234,351,-0.09938520922202
"rangebagging / vine","XGBoost",0.0919513648605273,372,-0.0907062731403375
"rangebagging / lobagoc","rangebagging / rangebagging",0.16653519521587,343,-0.0456495278228295
"rangebagging / lobagoc","rangebagging / gaussian",0.0155110431673641,613,0.0901233266372637
"rangebagging / lobagoc","rangebagging / kde",0.0934970816706142,564,0.0538674145260359
"rangebagging / lobagoc","rangebagging / vine",0.00550025982167328,636,0.103614099387417
"rangebagging / lobagoc","rangebagging / lobagoc",1,450,0
"rangebagging / lobagoc","gaussian / rangebagging",0.60817974896781,457,-0.0202445867499585
"rangebagging / lobagoc","gaussian / gaussian",0.811004977724872,477,-0.0156105230251756
"rangebagging / lobagoc","gaussian / kde",0.392319593785482,432,-0.0320245360150857
"rangebagging / lobagoc","gaussian / vine",0.929233597288189,488,-0.0110141764826271
"rangebagging / lobagoc","gaussian / lobagoc",0.929233597288189,488,0.000753304048994319
"rangebagging / lobagoc","kde / rangebagging",0.635180053722383,474,-0.0279066064359482
"rangebagging / lobagoc","kde / gaussian",0.68359086848151,479,-0.0222252615858218
"rangebagging / lobagoc","kde / kde",0.597516979568313,470,-0.0307311899523773
"rangebagging / lobagoc","kde / vine",0.743406913924468,485,-0.0209053540140199
"rangebagging / lobagoc","kde / lobagoc",0.877908235903768,522,-0.00157966310727442
"rangebagging / lobagoc","vine / rangebagging",0.447656201145804,439,-0.030648636655605
"rangebagging / lobagoc","vine / gaussian",0.439493428564429,438,-0.0337789127059601
"rangebagging / lobagoc","vine / kde",0.407697161711855,434,-0.0337121762722979
"rangebagging / lobagoc","vine / vine",0.481142590622114,443,-0.029182508418141
"rangebagging / lobagoc","vine / lobagoc",0.888453186665806,499,-0.00649840412844171
"rangebagging / lobagoc","lobagoc / rangebagging",0.122944608779972,555,0.0518763046229314
"rangebagging / lobagoc","lobagoc / gaussian",0.229749235570679,498,0.041459239378842
"rangebagging / lobagoc","lobagoc / kde",0.0958563435783032,581,0.049501293734694
"rangebagging / lobagoc","lobagoc / vine",0.122157852582264,520,0.0479618733573771
"rangebagging / lobagoc","lobagoc / lobagoc",0.0531634571922534,636,0.0634433396158645
"rangebagging / lobagoc","rangebagging / none",0.440430705979694,397,-0.0268204284073612
"rangebagging / lobagoc","gaussian / none",0.60817974896781,457,-0.0202638362795815
"rangebagging / lobagoc","kde / none",0.625671544047041,473,-0.0279252429789975
"rangebagging / lobagoc","vine / none",0.447656201145804,439,-0.0306714664084675
"rangebagging / lobagoc","lobagoc / none",0.229749235570679,498,0.0407262453171934
"rangebagging / lobagoc","ulsif",0.625671544047041,473,-0.0212400917546383
"rangebagging / lobagoc","rulsif",0.482620412203391,457,-0.0287166396693432
"rangebagging / lobagoc","maxnet",0.325095460854482,436,-0.0510889445000338
"rangebagging / lobagoc","biomod",0.94009871679235,489,-0.021146573348727
"rangebagging / lobagoc","BRT",0.961859966029466,491,-0.0179298999080864
"rangebagging / lobagoc","cforest",0.204547717611342,588,0.0331859909336685
"rangebagging / lobagoc","cforest weighted",0.320762526223042,568,0.0218866010241635
"rangebagging / lobagoc","Ensemble",0.579753024047038,454,-0.032156800437344
"rangebagging / lobagoc","GAM",0.929233597288189,488,-0.00632083800313288
"rangebagging / lobagoc","GLM",0.44498478090597,439,-0.0417426139016953
"rangebagging / lobagoc","GLM unweighted",0.431415543687943,437,-0.0362696428284259
"rangebagging / lobagoc","IWLR-GAM",0.748094875671762,471,-0.0189995969524427
"rangebagging / lobagoc","IWLR-GLM",0.598636214613481,456,-0.0273881889405463
"rangebagging / lobagoc","Lasso",0.737756579726091,470,-0.0246922229209031
"rangebagging / lobagoc","MARS unweighted",0.637202406345649,530,0.0104247282153348
"rangebagging / lobagoc","MaxEnt",0.481142590622114,443,-0.0380555165446171
"rangebagging / lobagoc","MaxEnt tuned2",0.707027663969608,467,-0.0257839643268092
"rangebagging / lobagoc","MaxNet",0.481142590622114,443,-0.036979318073072
"rangebagging / lobagoc","RF",0.00653104777052057,691,0.081792159965856
"rangebagging / lobagoc","RF down-sampled",0.60817974896781,457,-0.0237712109136361
"rangebagging / lobagoc","Ridge regression",0.779371859985279,474,-0.0234358683016513
"rangebagging / lobagoc","SVM",0.407697161711855,556,0.0336652421107796
"rangebagging / lobagoc","SVM weighted",0.918381464586921,487,0.00422889016539696
"rangebagging / lobagoc","XGBoost",0.579753024047038,536,0.0129078262470794
"gaussian / rangebagging","rangebagging / rangebagging",0.369165785434133,414,-0.0254049410728709
"gaussian / rangebagging","rangebagging / gaussian",0.00523500370564183,696,0.110367913387222
"gaussian / rangebagging","rangebagging / kde",0.0377209615113817,646,0.0741120012759945
"gaussian / rangebagging","rangebagging / vine",0.00136494267817752,724,0.123858686137375
"gaussian / rangebagging","rangebagging / lobagoc",0.60817974896781,533,0.0202445867499585
"gaussian / rangebagging","gaussian / rangebagging",1,544.5,0
"gaussian / rangebagging","gaussian / gaussian",0.868484949420175,558,0.00463406372478292
"gaussian / rangebagging","gaussian / kde",0.70229929278773,514,-0.0117799492651272
"gaussian / rangebagging","gaussian / vine",0.838508781124149,561,0.0092304102673314
"gaussian / rangebagging","gaussian / lobagoc",0.635132605664782,582,0.0209978907989529
"gaussian / rangebagging","kde / rangebagging",0.876259440665771,548,-0.00766201968598967
"gaussian / rangebagging","kde / gaussian",0.965225336216905,557,-0.00198067483586328
"gaussian / rangebagging","kde / kde",0.856657851390689,546,-0.0104866032024188
"gaussian / rangebagging","kde / vine",0.945379177609161,567,-0.00066076726406139
"gaussian / rangebagging","kde / lobagoc",0.545425464674088,610,0.0186649236426841
"gaussian / rangebagging","vine / rangebagging",0.75980403685992,520,-0.0104040499056465
"gaussian / rangebagging","vine / gaussian",0.75011858998249,519,-0.0135343259560016
"gaussian / rangebagging","vine / kde",0.711777563922716,515,-0.0134675895223394
"gaussian / rangebagging","vine / vine",0.789078437825525,523,-0.00893792166818241
"gaussian / rangebagging","vine / lobagoc",0.77923418617418,584,0.0137461826215168
"gaussian / rangebagging","lobagoc / rangebagging",0.0403961269561903,644,0.0721208913728899
"gaussian / rangebagging","lobagoc / gaussian",0.0891110093347689,580,0.0617038261288005
"gaussian / rangebagging","lobagoc / kde",0.0309296229960223,672,0.0697458804846526
"gaussian / rangebagging","lobagoc / vine",0.04936854760606,598,0.0682064601073357
"gaussian / rangebagging","lobagoc / lobagoc",0.0128473731115473,739,0.083687926365823
"gaussian / rangebagging","rangebagging / none",0.800424025319987,476,-0.00657584165740266
"gaussian / rangebagging","gaussian / none",0.969308320565466,541,-1.92495296229556e-05
"gaussian / rangebagging","kde / none",0.876259440665771,548,-0.00768065622903891
"gaussian / rangebagging","vine / none",0.75980403685992,520,-0.010426879658509
"gaussian / rangebagging","lobagoc / none",0.0977057046908586,577,0.0609708320671519
"gaussian / rangebagging","ulsif",0.955298839264313,556,-0.000995505004679709
"gaussian / rangebagging","rulsif",0.741268572176908,534,-0.00847205291938469
"gaussian / rangebagging","maxnet",0.596300252423453,518,-0.0308443577500752
"gaussian / rangebagging","biomod",0.769526777618162,568,-0.000901986598768501
"gaussian / rangebagging","BRT",0.80876200388231,564,0.00231468684187219
"gaussian / rangebagging","cforest",0.0645287246382256,689,0.053430577683627
"gaussian / rangebagging","cforest weighted",0.148142429034464,658,0.0421311877741221
"gaussian / rangebagging","Ensemble",0.779285390633631,522,-0.0119122136873855
"gaussian / rangebagging","GAM",0.63729459668291,582,0.0139237487468257
"gaussian / rangebagging","GLM",0.75824183424799,520,-0.0214980271517368
"gaussian / rangebagging","GLM unweighted",0.75980403685992,520,-0.0160250560784674
"gaussian / rangebagging","IWLR-GAM",0.959368707148424,549,0.00124498979751586
"gaussian / rangebagging","IWLR-GLM",0.989838113606876,546,-0.00714360219058774
"gaussian / rangebagging","Lasso",0.989838113606876,543,-0.00444763617094457
"gaussian / rangebagging","MARS unweighted",0.266483620723994,632,0.0306693149652933
"gaussian / rangebagging","MaxEnt",0.828565665978071,527,-0.0178109297946586
"gaussian / rangebagging","MaxEnt tuned2",0.928957739766869,537,-0.00553937757685063
"gaussian / rangebagging","MaxNet",0.858469963623579,530,-0.0167347313231134
"gaussian / rangebagging","RF",0.000633394447999648,806,0.102036746715815
"gaussian / rangebagging","RF down-sampled",0.898648776071853,534,-0.00352662416367755
"gaussian / rangebagging","Ridge regression",0.989838113606876,546,-0.00319128155169279
"gaussian / rangebagging","SVM",0.244992589674733,636,0.0539098288607381
"gaussian / rangebagging","SVM weighted",0.75011858998249,570,0.0244734769153555
"gaussian / rangebagging","XGBoost",0.351543271625767,618,0.033152412997038
"gaussian / gaussian","rangebagging / rangebagging",0.361702439856082,413,-0.0300390047976539
"gaussian / gaussian","rangebagging / gaussian",0.0196561705122437,664,0.105733849662439
"gaussian / gaussian","rangebagging / kde",0.139816803891445,603,0.0694779375512116
"gaussian / gaussian","rangebagging / vine",0.00572310075774016,694,0.119224622412593
"gaussian / gaussian","rangebagging / lobagoc",0.811004977724872,513,0.0156105230251756
"gaussian / gaussian","gaussian / rangebagging",0.868484949420175,531,-0.00463406372478292
"gaussian / gaussian","gaussian / gaussian",1,544.5,0
"gaussian / gaussian","gaussian / kde",0.601310722578767,503,-0.0164140129899101
"gaussian / gaussian","gaussian / vine",1,544,0.00459634654254848
"gaussian / gaussian","gaussian / lobagoc",0.838508781124149,561,0.0163638270741699
"gaussian / gaussian","kde / rangebagging",0.788811309938131,539,-0.0122960834107726
"gaussian / gaussian","kde / gaussian",0.817726712055819,542,-0.00661473856064621
"gaussian / gaussian","kde / kde",0.703914463493095,530,-0.0151206669272017
"gaussian / gaussian","kde / vine",0.895936196775682,550,-0.00529483098884431
"gaussian / gaussian","kde / lobagoc",0.760180134556292,586,0.0140308599179012
"gaussian / gaussian","vine / rangebagging",0.711777563922716,515,-0.0150381136304294
"gaussian / gaussian","vine / gaussian",0.664853451054568,510,-0.0181683896807845
"gaussian / gaussian","vine / kde",0.610221763418728,504,-0.0181016532471223
"gaussian / gaussian","vine / vine",0.721299969283027,516,-0.0135719853929653
"gaussian / gaussian","vine / lobagoc",0.895936196775682,572,0.00911211889673391
"gaussian / gaussian","lobagoc / rangebagging",0.155322238606772,599,0.067486827648107
"gaussian / gaussian","lobagoc / gaussian",0.234337703900733,545,0.0570697624040176
"gaussian / gaussian","lobagoc / kde",0.136658746322445,623,0.0651118167598697
"gaussian / gaussian","lobagoc / vine",0.16809900535345,558,0.0635723963825527
"gaussian / gaussian","lobagoc / lobagoc",0.0767613397006327,683,0.0790538626410401
"gaussian / gaussian","rangebagging / none",0.637202406345649,460,-0.0112099053821856
"gaussian / gaussian","gaussian / none",0.868484949420175,531,-0.00465331325440588
"gaussian / gaussian","kde / none",0.788811309938131,539,-0.0123147199538218
"gaussian / gaussian","vine / none",0.711777563922716,515,-0.0150609433832919
"gaussian / gaussian","lobagoc / none",0.24009764828224,544,0.056336768342369
"gaussian / gaussian","ulsif",0.808058953562202,541,-0.00562956872946263
"gaussian / gaussian","rulsif",0.731869501456971,533,-0.0131061166441676
"gaussian / gaussian","maxnet",0.443034395579217,499,-0.0354784214748581
"gaussian / gaussian","biomod",0.979677852945431,542,-0.00553605032355142
