"method","point_category","mean_pa_AUC","median_pa_AUC","mean_pa_sensitivity","mean_pa_specificity","n_nas"
"rangebagging / lobagoc","low",NA,NA,0.218347009050883,0.914165306920377,22
"rangebagging / lobagoc","typical",NA,NA,0.652341101122814,0.600776586393025,173
"rangebagging / lobagoc",NA,NA,NA,NA,NA,9
"rangebagging / none","high",0.663240638761974,0.651443873791756,0.906250649806424,0.350293957856493,0
"rangebagging / none","low",0.666274989875481,0.65458639613393,0.155265285709853,0.954380936628974,0
"rangebagging / none","typical",0.699801779268248,0.695930222385527,0.660727725476921,0.613057214688853,0
"rangebagging / none",NA,NA,NA,NA,NA,11
"rangebagging / rangebagging","high",0.669536092536241,0.64858859991297,0.893766355159664,0.369651783794097,0
"rangebagging / rangebagging","low",0.681044780363217,0.666172839506173,0.145730237390338,0.958778483941864,0
"rangebagging / rangebagging","typical",0.69874723317485,0.691691151054269,0.641451931914214,0.626785648981712,0
"rangebagging / rangebagging",NA,NA,NA,NA,NA,10
"rangebagging / vine","high",0.504099584296175,0.495093775595433,0.947178672725795,0.0545478391510687,0
"rangebagging / vine","low",NA,NA,0.787392423839297,0.299067664314094,1
"rangebagging / vine","typical",NA,NA,0.948457730305471,0.100144316902809,13
"rangebagging / vine",NA,NA,NA,NA,NA,11
"rulsif","high",0.740754102649079,0.735123282886774,0.949296215934181,0.303062126331444,0
"rulsif","low",0.657266086670217,0.637945298663599,0.380616627004878,0.741641720496882,0
"rulsif","typical",0.705853627885902,0.710316853541105,0.570808701922196,0.667110050945541,0
"ulsif","high",0.740104617378774,0.737845871954639,0.951831426015089,0.30267692794553,0
"ulsif","low",0.648934289654602,0.617136941864634,0.310393477400053,0.833368713494918,0
"ulsif","typical",0.69866180420471,0.693680576403482,0.502690190137364,0.703433183017396,0
"vine / gaussian","high",0.719935819900162,0.717592250495853,0.883854421174625,0.448547276071504,0
"vine / gaussian","low",NA,NA,NA,NA,1
"vine / gaussian","typical",NA,NA,NA,NA,1
"vine / gaussian",NA,NA,NA,NA,NA,1
"vine / kde","high",0.73841095227262,0.742516028811736,0.892289151178504,0.469695651753596,0
"vine / kde","low",NA,NA,NA,NA,1
"vine / kde","typical",NA,NA,NA,NA,1
"vine / kde",NA,NA,NA,NA,NA,1
"vine / lobagoc","high",NA,NA,0.898398880041299,0.416339511767932,23
"vine / lobagoc","low",NA,NA,NA,NA,21
"vine / lobagoc","typical",NA,NA,NA,NA,181
"vine / lobagoc",NA,NA,NA,NA,NA,1
"vine / none","high",0.711548666377647,0.728357864257047,0.895816565682731,0.417501673804309,0
"vine / none","low",NA,NA,NA,NA,1
"vine / none","typical",NA,NA,NA,NA,1
"vine / none",NA,NA,NA,NA,NA,1
"vine / rangebagging","high",0.712311911149524,0.72968532879977,0.897545786773075,0.417307670274213,0
"vine / rangebagging","low",NA,NA,NA,NA,1
"vine / rangebagging","typical",NA,NA,NA,NA,1
"vine / rangebagging",NA,NA,NA,NA,NA,1
"vine / vine","high",0.730482712331394,0.720229380300557,0.92258698533701,0.387792381455495,0
"vine / vine","low",NA,NA,NA,NA,1
"vine / vine","typical",NA,NA,NA,NA,7
"vine / vine",NA,NA,NA,NA,NA,1
