"","method","mean_auc","mean_pa_auc","mean_pa_pAUC_sensitivity","mean_pa_pAUC_specificity","mean_pa_prediction_accuracy","mean_pa_sensitivity","mean_pa_specificity","mean_pa_correlation","mean_pa_kappa","median_pa_auc"
"1","gaussian / gaussian",0.875133222898023,0.692528096995646,0.690473840320222,0.620140748173083,0.549989489707142,0.77990168123125,0.504861859509478,0.0270885381940629,0.0941617743070414,0.700006363234766
"2","gaussian / kde",0.889623319091912,0.706659071561786,0.674075380617229,0.617762126972536,0.539493922502551,0.771504073114259,0.498733749480566,0.0865507860826179,0.0901259318259259,0.698027322810736
"3","gaussian / lobagoc",NA,NA,NA,NA,0.513437671179782,0.77798092142619,0.46801166037335,NA,0.07458883183354,NA
"4","gaussian / none",0.814530539155049,0.692247010729349,0.661906234938756,0.609931753940927,0.512615709059275,0.78054847020307,0.467346380289487,0.131044870254574,0.081973099986428,0.686057166604783
"5","gaussian / rangebagging",0.814752555777837,0.692300925950169,0.661977113251667,0.610003921393898,0.513158851864177,0.779808585040188,0.467982809231577,0.131166237419002,0.0822008419568629,0.686417821728215
"6","gaussian / vine",0.849161666375387,0.683158132599724,0.664412106638909,0.602831768983336,0.469161857300143,0.831023496154642,0.397615790242309,0.0207929882685929,0.0641893226942425,0.675384615384615
"7","kde / gaussian",0.935645541386665,0.681659678569267,0.670065664091246,0.615957311243996,0.691206061349158,0.481711357799635,0.712684198086105,0.0132835886467096,0.0986260745636966,0.681425281796412
"8","kde / kde",0.986448785043264,0.70841510548617,0.67387769906306,0.626176597285225,0.753099802633189,0.37801980874008,0.813315090817888,0.065061936894499,0.113855598960778,0.695075987841945
"9","kde / lobagoc",NA,NA,NA,NA,0.795891556832699,0.209661376209126,0.884099789470822,NA,0.0563093257142892,NA
"10","kde / none",0.973236409834964,0.695830974864341,0.665994614704486,0.620806448233585,0.819331001628644,0.183212068119484,0.915966617440894,0.136861253590972,0.0791124506347137,0.700936657743229
"11","kde / rangebagging",0.973443281685998,0.695872365901021,0.666014345588511,0.620889045751663,0.819461656502427,0.183110991067652,0.916087294874928,0.137156529184301,0.0792403647859416,0.700265126135768
"12","kde / vine",0.926719317495398,0.682335078665911,0.659989930752249,0.611568856595776,0.606183342681174,0.61503270142994,0.586233935600163,0.0203165304579729,0.0823896167380502,0.672805642633229
"13","lobagoc / gaussian",0.896002176636867,0.646294015111394,0.586453158401303,0.605760327454563,0.642056578331814,0.61137593864829,0.639471078606844,0.0391484545678523,0.10929709008615,0.63345664558962
"14","lobagoc / kde",0.919512515588392,0.646328987010066,0.58541383906128,0.59420721695591,0.63608960437433,0.612128723362223,0.633600818283021,0.05871554544005,0.103844794678174,0.628651389811993
"15","lobagoc / lobagoc",0.870973003330254,0.670108537664363,0.594184601207886,0.614915712309447,0.634075397513484,0.599280994158088,0.633253518479116,0.181225180887473,0.102913714307045,0.668773653937789
"16","lobagoc / none",0.831777596764345,0.645587413376266,0.585528598563321,0.591182052868212,0.639878880250498,0.589968847202889,0.64161208033544,0.147656117838276,0.102242259218252,0.619949593855232
"17","lobagoc / rangebagging",0.835964046203156,0.643327859093069,0.583982966995771,0.59566389658107,0.639889690830727,0.586280491334592,0.643049381721542,0.144312375419034,0.0999606911239596,0.6197162036001
"18","lobagoc / vine",0.88816498900389,0.645433944249036,0.587213287594197,0.598166208251622,0.613341900048096,0.654094561449721,0.599207343454639,0.0327647064085536,0.103111238039981,0.621846427126663
"19","maxnet",0.909044459917504,0.725490843780278,0.696266217191376,0.642792508211032,0.564784113772586,0.782375834736049,0.527825548754299,0.17413686921599,0.106939353507357,0.731157731157731
"20","rangebagging / gaussian",0.674966458153425,0.523920120503923,0.588852920982395,0.557155916565765,0.27812189373844,0.882896150579326,0.179875235463834,-0.00232320325460726,0.0107930725322019,0.518077958586411
"21","rangebagging / kde",0.815464546021149,0.549664099726271,0.591317452794287,0.54275423909237,0.296161703744158,0.879633406936933,0.207150544304154,0.000645942220702334,0.0217362614046854,0.54509458343905
"22","rangebagging / lobagoc",NA,NA,NA,NA,0.615299183966199,0.633795839152718,0.608049533267785,NA,0.090999877467218,NA
"23","rangebagging / none",0.875992558516454,0.692629991092532,0.653214449558107,0.606639047258691,0.625638483663099,0.634129263432147,0.621095959955694,0.171032797968269,0.108722099234783,0.681901444345466
"24","rangebagging / rangebagging",0.88267754878257,0.694050952604972,0.654156988501226,0.604301538028365,0.633996179529254,0.618955458425318,0.63287316981521,0.170834121253118,0.108098231887214,0.683874657088943
"25","rangebagging / vine",0.697333540671074,0.521659382154324,0.573503126147568,0.541925416582763,0.225556623526519,0.931845748868221,0.115833577984251,-0.00712408340459217,0.0101404288518094,0.506781552310163
"26","rulsif",0.922975944048393,0.704675685464698,0.665447457067714,0.624143522364511,0.632324513394057,0.590813069949163,0.637316221140254,0.184990434913499,0.0948162856119806,0.714137155965386
"27","ulsif",0.934842536582478,0.698038704129052,0.66050870533305,0.623754672433634,0.659616569804366,0.529680104938102,0.675296845866301,0.154931538688103,0.088343046025879,0.698881067758284
"28","vine / gaussian",0.916075112562263,0.693974047803395,0.665752632988781,0.626762415782935,0.647764567108405,0.600946498321072,0.649195653439053,0.0335224561758766,0.104882957505747,0.687124318237556
"29","vine / kde",0.928194201354236,0.699977056025502,0.665352428080435,0.621058569061399,0.649335083108286,0.597801080020055,0.652477233967314,0.0625680021381373,0.106204139327406,0.678143995167441
"30","vine / lobagoc",NA,NA,NA,NA,0.622942044133876,0.609435263749658,0.619540717969598,NA,0.0858619252668503,NA
"31","vine / none",0.882526288793854,0.69009311206919,0.657425418040381,0.617812299320162,0.630876988095944,0.604343376643616,0.630297309793934,0.0769768480314036,0.0941270989370295,0.671064354597489
